SK_ID_CURR,TARGET
100001,0
100005,1
100013,0
100028,1
100038,0
100042,0
100057,0
100065,0
100066,1
100067,0
100074,0
100090,1
100091,1
100092,0
100106,0
100107,1
100109,1
100117,1
100128,1
100141,0
100150,1
100168,0
100169,0
100170,1
100171,0
100172,0
100184,1
100187,0
100212,0
100222,0
100223,0
100232,0
100241,1
100245,1
100253,0
100256,1
100271,0
100278,1
100280,0
100306,1
100311,0
100312,0
100330,0
100331,0
100352,0
100358,1
100367,0
100382,1
100384,0
100385,1
100386,0
100399,0
100404,0
100416,0
100422,0
100426,1
100438,0
100444,1
100445,1
100446,1
100447,0
100450,1
100466,0
100483,0
100484,0
100494,0
100510,0
100512,0
100517,0
100548,0
100551,1
100552,0
100553,1
100561,1
100568,1
100569,0
100591,1
100592,1
100602,1
100607,1
100613,0
100617,1
100618,0
100622,1
100625,1
100677,0
100699,0
100702,1
100711,0
100729,1
100740,1
100744,1
100745,0
100747,1
100751,0
100752,0
100753,0
100754,0
100760,0
100762,1
100763,1
100765,1
100770,1
100772,1
100777,0
100791,0
100792,0
100797,0
100823,1
100826,0
100830,1
100836,1
100872,0
100910,1
100913,0
100918,1
100931,0
100952,0
100953,1
100965,0
100970,0
100982,1
100983,0
100984,0
100987,0
100997,1
100998,1
101002,0
101005,1
101008,1
101020,0
101021,0
101024,1
101025,1
101026,0
101031,0
101041,0
101051,0
101055,1
101056,1
101057,0
101064,0
101079,0
101087,0
101090,0
101092,0
101097,0
101099,0
101107,1
101118,0
101125,0
101126,0
101128,0
101136,1
101140,0
101149,0
101160,1
101169,1
101181,0
101186,0
101190,0
101193,1
101194,1
101198,1
101200,0
101204,1
101211,0
101213,1
101223,1
101225,1
101237,0
101243,1
101244,0
101258,0
101259,1
101268,0
101269,0
101271,0
101279,0
101281,0
101287,0
101292,1
101294,0
101296,1
101297,0
101299,0
101301,0
101305,1
101308,0
101318,0
101327,1
101329,0
101332,0
101337,0
101343,0
101345,0
101346,0
101353,0
101354,1
101355,0
101356,0
101362,1
101363,0
101365,0
101366,0
101367,1
101368,0
101374,1
101380,0
101383,1
101398,0
101399,0
101401,0
101412,0
101426,1
101427,1
101428,1
101429,1
101434,0
101440,1
101448,1
101449,1
101465,0
101467,0
101472,0
101478,0
101497,0
101504,0
101547,0
101548,0
101555,0
101570,0
101572,0
101578,0
101580,0
101588,1
101602,0
101610,0
101614,0
101616,1
101643,1
101644,1
101649,0
101650,1
101665,0
101667,1
101669,0
101674,1
101675,0
101678,1
101682,0
101686,0
101697,1
101700,0
101711,0
101714,0
101715,1
101728,0
101732,1
101757,0
101758,1
101759,1
101762,0
101764,1
101780,0
101784,0
101789,0
101816,0
101819,0
101827,0
101863,0
101867,1
101870,0
101873,1
101878,0
101879,0
101880,1
101887,0
101897,0
101901,0
101903,1
101920,0
101921,1
101922,1
101961,1
101962,0
101971,0
101976,1
102002,0
102005,0
102007,0
102017,0
102019,1
102029,1
102051,1
102052,1
102054,0
102062,0
102067,1
102068,0
102070,0
102090,0
102092,1
102099,1
102100,0
102112,1
102113,0
102122,1
102123,0
102125,1
102126,0
102146,0
102147,0
102151,1
102158,0
102159,0
102162,0
102165,0
102166,0
102174,0
102193,1
102198,1
102205,0
102206,0
102218,0
102221,0
102230,1
102238,0
102248,0
102252,0
102259,0
102262,0
102273,0
102286,0
102293,0
102294,0
102296,0
102298,1
102303,0
102309,1
102315,0
102340,1
102342,1
102344,0
102346,1
102347,0
102374,1
102380,0
102387,1
102393,0
102403,0
102413,1
102414,0
102415,0
102416,1
102439,0
102441,0
102443,0
102444,0
102445,1
102448,0
102449,0
102450,1
102456,0
102458,0
102459,1
102465,0
102470,1
102471,0
102475,1
102476,0
102506,1
102509,0
102519,0
102522,1
102545,1
102549,1
102562,0
102563,0
102568,1
102582,0
102592,1
102597,1
102605,0
102614,0
102617,1
102634,0
102652,1
102655,1
102671,0
102694,1
102701,1
102703,0
102704,0
102713,0
102720,0
102731,0
102733,0
102749,0
102755,1
102763,1
102770,0
102772,1
102799,0
102838,0
102854,0
102862,1
102863,0
102867,0
102868,0
102878,0
102887,1
102898,1
102904,1
102912,1
102919,0
102927,1
102932,1
102933,1
102935,0
102958,0
102969,1
102971,0
102975,0
102979,0
102982,0
102987,1
102989,0
102995,1
102996,0
103000,0
103001,1
103004,0
103010,0
103025,1
103029,0
103046,1
103056,0
103062,1
103078,0
103083,0
103092,0
103096,1
103097,0
103102,1
103112,1
103132,0
103144,1
103145,0
103146,1
103147,1
103158,0
103171,0
103173,1
103184,0
103195,1
103196,0
103206,0
103230,1
103231,1
103232,0
103239,1
103240,0
103243,0
103252,1
103258,0
103259,0
103279,0
103280,0
103286,1
103287,1
103290,0
103298,0
103315,0
103319,0
103334,1
103336,1
103345,0
103368,0
103371,1
103377,0
103398,0
103404,0
103408,1
103410,1
103418,0
103420,0
103432,1
103433,0
103436,0
103440,0
103453,1
103459,0
103460,0
103461,0
103462,0
103473,1
103474,0
103475,1
103478,0
103480,0
103484,0
103494,0
103513,1
103515,0
103516,1
103525,1
103541,1
103544,0
103562,1
103570,1
103572,0
103574,0
103575,0
103591,0
103594,0
103609,1
103613,1
103614,0
103615,0
103624,0
103625,0
103628,1
103629,0
103647,0
103648,1
103651,0
103658,0
103668,1
103669,1
103676,1
103682,0
103683,0
103689,0
103725,0
103733,0
103744,0
103762,1
103771,1
103773,0
103783,1
103784,1
103808,0
103812,0
103813,1
103814,0
103818,1
103824,1
103828,0
103830,1
103840,0
103842,0
103847,0
103848,0
103851,0
103854,1
103857,1
103861,0
103862,0
103865,0
103870,0
103876,1
103891,1
103908,1
103914,1
103918,0
103940,0
103963,1
103966,0
103971,1
103980,1
103984,1
103985,1
103998,0
104019,0
104026,0
104035,1
104044,0
104045,1
104047,0
104051,0
104058,0
104063,0
104066,1
104087,0
104089,1
104095,0
104098,1
104104,0
104110,1
104120,0
104122,1
104131,1
104132,1
104135,0
104136,0
104149,1
104150,0
104156,1
104165,0
104175,0
104179,0
104184,0
104206,0
104216,0
104230,1
104257,0
104272,0
104273,1
104278,0
104294,1
104295,1
104297,0
104298,1
104308,1
104318,1
104319,0
104320,1
104327,1
104334,1
104344,1
104350,0
104351,0
104354,0
104369,0
104376,1
104381,0
104384,1
104391,0
104394,1
104398,1
104402,1
104408,0
104409,0
104410,1
104412,0
104417,1
104424,0
104426,0
104435,0
104445,0
104458,0
104460,0
104466,0
104472,0
104473,0
104479,0
104480,0
104482,0
104499,0
104501,0
104502,0
104506,0
104510,0
104512,0
104520,1
104528,0
104529,0
104541,0
104578,0
104584,1
104588,0
104602,1
104610,0
104611,1
104618,0
104620,0
104622,0
104624,0
104625,1
104634,1
104639,1
104646,0
104647,0
104652,0
104670,0
104677,0
104685,0
104691,1
104696,1
104699,0
104712,1
104714,0
104717,0
104718,0
104740,1
104741,1
104743,0
104744,0
104747,0
104767,0
104772,1
104776,1
104779,0
104814,0
104815,1
104830,0
104831,1
104833,0
104839,0
104840,1
104860,1
104861,0
104866,0
104870,0
104877,0
104878,0
104879,0
104880,1
104899,0
104906,0
104907,0
104913,1
104916,0
104921,0
104930,1
104931,1
104936,1
104937,0
104942,0
104943,0
104969,0
104972,1
104988,0
105013,0
105015,0
105019,0
105027,0
105030,0
105035,1
105041,0
105051,1
105056,0
105067,1
105071,0
105072,0
105074,1
105091,0
105101,0
105103,1
105134,1
105139,0
105142,1
105146,0
105163,0
105168,1
105172,0
105176,1
105195,0
105196,1
105197,0
105203,0
105223,1
105227,0
105228,0
105230,1
105231,1
105239,0
105242,1
105244,0
105245,1
105248,0
105249,1
105266,0
105271,1
105276,0
105282,0
105292,1
105297,0
105332,1
105333,0
105343,1
105344,0
105345,1
105357,0
105359,0
105366,1
105367,0
105370,0
105377,1
105390,0
105399,0
105403,1
105404,1
105414,0
105417,0
105425,0
105452,0
105454,0
105456,1
105470,0
105471,0
105483,1
105493,1
105508,0
105514,0
105515,0
105528,1
105529,0
105531,0
105532,0
105558,0
105574,0
105578,0
105584,1
105595,0
105617,1
105618,0
105621,0
105625,0
105629,0
105630,0
105634,0
105635,0
105641,0
105647,1
105648,0
105655,0
105657,0
105672,1
105678,0
105682,1
105691,0
105692,0
105706,0
105712,0
105720,1
105734,0
105735,0
105736,0
105737,0
105738,1
105740,1
105744,1
105747,0
105749,1
105754,0
105758,1
105760,0
105767,1
105784,0
105791,0
105802,1
105807,1
105809,1
105816,0
105817,0
105824,0
